0x803d30,Name value,Description value,Character Number,Class (support viewer only),Portrait (Zero is Default),Mini Portrait (Zero is Default),Affinity,Units Screen Priority,Level,Base HP,Base Strength/Magic,Base Skill,Base Speed,Base Defense,Base Magic Defense,Base Luck,Constitution Bonus,Sword Level,Spear Level,Axe Level,Bow Level,Staff Level,Anima Level,Light Level,Dark Level,HP Growth,Strength/Magic Growth,Skill Growth,Speed Growth,Defense Growth,Magic Defense Growth,Luck Growth,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),Character Ability 1,Character Ability 2,Character Ability 3,Character Ability 4,Supports Data Pointer,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero)
Dahl,0x23e,DahlDesc,0x35,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Yodel,0x23f,YodelDesc,0x36,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,121,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ch11Boss,0x267,0x0,0x37,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ch12Boss,0x267,0x0,0x38,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ch13Boss,0x267,0x0,0x39,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Eibel,0x240,EibelDesc,0x3a,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Willow,0x241,WillowDesc,0x3b,0x7,0x0,0x0,5,0x25,1,0,3,2,3,0,0,20,0,0,0,0,0,31,181,0,0,0,60,45,30,0,0,60,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ch18Boss,0x26d,0x32e,0x3c,0x31,0x0,0x0,0,0x0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Nailing,0x242,NailingDesc,0x3d,0x31,0x0,0x0,0,0x0,9,0,0,0,0,0,0,0,0,0,181,71,0,0,0,0,0,50,30,35,32,8,40,45,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Hardin,0x243,HardinDesc,0x3e,0x7,0x0,0x0,5,0x21,1,0,2,1,2,0,0,10,0,0,251,0,0,0,0,0,0,0,50,50,40,0,0,55,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ch21Boss,0x2f1,0x33d,0x3f,0x7,0x0,0x0,5,0x1a,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,181,0,70,40,20,0,0,40,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Final1Boss,0x234,0x28f,0x40,0x4f,0x4a,0x0,4,0x0,14,26,13,9,6,14,11,4,0,0,0,0,0,0,0,0,0,85,50,55,55,45,55,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Garnef,0x245,GarnefDesc,0x41,0x3b,0x0,0x0,3,0x0,18,42,16,10,11,3,7,7,0,0,0,0,0,181,0,0,251,150,100,90,70,160,80,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Mediuth,0x247,MediuthDesc,0x42,0x7,0x45,0x0,5,0x0,3,11,8,9,4,5,4,4,1,0,0,0,0,0,0,0,0,80,55,45,40,45,30,25,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Macedonia Generic,MacedoniaName,MacedoniaDesc,0x43,0x23,0x0,0x3,4,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,55,50,20,20,15,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Viking (Ch4),VikingName,VikingDesc,0x44,0x2a,0x0,0x3,2,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,40,55,40,20,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Akaneia Generic,AkaneiaName,AkaneiaDesc,0x45,0x23,0x0,0x3,4,0x0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Thief Generic,EnemyThiefName,EnemyThiefDesc,0x46,0x9,0x0,0x3,2,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Khadein Generic,KhadeinName,KhadeinDesc,0x47,0x41,0x0,0x3,4,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Fire Dragon,FireDragonName,EnemyDragonDesc,0x48,0x41,0x0,0x1,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Desert Tribe,0x255,DesertTribeDesc,0x49,0x53,0x0,0x3,5,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Flying Dragons,FlyingDragonName,EnemyDragonDesc,0x4a,0x9,0x0,0x1,7,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Fire Tribe,0x23d,FireTribeDesc,0x4b,0x2d,0x0,0x3,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ice Tribe,0x23e,IceTribeDesc,0x4c,0x5,0x0,0x3,6,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ice Dragons,IceDragonName,EnemyDragonDesc,0x4d,0xb,0x0,0x1,7,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Gra Generic,GraName,GraDesc,0x4e,0x40,0x0,0x3,5,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Orleans Generic,OrleansName,OrleansDesc,0x4f,0x27,0x0,0x3,4,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,25,35,15,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Wolf,0x255,WolfDesc,0x50,0x5e,0x0,0x0,5,0x0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Zagaro,0x242,ZagaroDesc,0x51,0x35,0x0,0x0,7,0x0,0,0,0,0,0,0,0,0,1,0,0,0,181,0,0,0,0,85,50,35,35,25,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Biraku,0x243,BirakuDesc,0x52,0x15,0x0,0x0,1,0x0,0,0,0,0,0,0,0,0,0,121,181,0,0,0,0,0,0,85,65,10,10,20,20,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Dark Bishop,DarkBishopName,DarkBishopDesc,0x53,0x11,0x0,0x3,2,0x0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,85,50,45,45,30,20,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Hardin's Bodyguards,BodyguardName,BodyguardDesc,0x54,0x27,0x0,0x3,4,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Mountain Tribe,0x267,MountainTribeDesc,0x55,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Demon Dragons,0x255,EnemyDragonDesc,0x56,0x61,0x0,0x3,5,0x0,15,25,10,11,7,5,12,3,0,0,0,0,0,0,0,0,0,85,65,20,40,15,40,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Earth Dragons,EarthDragonName,EnemyDragonDesc,0x57,0x2b,0x0,0x1,5,0x0,16,28,10,17,15,13,10,9,0,0,0,0,0,0,0,0,0,75,45,50,40,20,45,15,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
-,0x267,0x0,0x58,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
